1,DeliveryDelay,O1,R35,S18,Juice,Unknown,🚨 Order O1 delayed by 22 mins in Unknown.,2025-09-10 18:09:20.917
2,DeliveryDelay,O4,R29,S8,Rice,Unknown,🚨 Order O4 delayed by 29 mins in Unknown.,2025-09-10 18:09:21.717
3,DeliveryDelay,O9,R100,S9,Salt,Unknown,🚨 Order O9 delayed by 24 mins in Unknown.,2025-09-10 18:09:23.227
4,DeliveryDelay,O11,R1,S7,Cheese,Unknown,🚨 Order O11 delayed by 15 mins in Unknown.,2025-09-10 18:09:23.837
5,DeliveryDelay,O14,R5,S17,Salt,Unknown,🚨 Order O14 delayed by 20 mins in Unknown.,2025-09-10 18:09:24.743
6,DeliveryDelay,O15,R14,S2,Juice,Unknown,🚨 Order O15 delayed by 26 mins in Unknown.,2025-09-10 18:09:25.040
7,DeliveryDelay,O16,R48,S6,Juice,Unknown,🚨 Order O16 delayed by 20 mins in Unknown.,2025-09-10 18:09:25.340
8,DeliveryDelay,O18,R44,S11,Atta,Unknown,🚨 Order O18 delayed by 17 mins in Unknown.,2025-09-10 18:09:25.950
9,DeliveryDelay,O19,R48,S15,Cheese,Unknown,🚨 Order O19 delayed by 22 mins in Unknown.,2025-09-10 18:09:26.250
10,DeliveryDelay,O22,R69,S12,Juice,Unknown,🚨 Order O22 delayed by 25 mins in Unknown.,2025-09-10 18:09:27.167
11,DeliveryDelay,O23,R57,S20,Cheese,Unknown,🚨 Order O23 delayed by 22 mins in Unknown.,2025-09-10 18:09:27.457
12,DeliveryDelay,O26,R39,S4,Atta,Unknown,🚨 Order O26 delayed by 24 mins in Unknown.,2025-09-10 18:09:28.373
13,DeliveryDelay,O29,R73,S9,Juice,Unknown,🚨 Order O29 delayed by 24 mins in Unknown.,2025-09-10 18:09:29.277
14,DeliveryDelay,O31,R45,S4,Juice,Unknown,🚨 Order O31 delayed by 25 mins in Unknown.,2025-09-10 18:09:29.877
15,DeliveryDelay,O32,R27,S20,Butter,Unknown,🚨 Order O32 delayed by 20 mins in Unknown.,2025-09-10 18:09:30.183
16,DeliveryDelay,O36,R48,S3,Butter,Unknown,🚨 Order O36 delayed by 27 mins in Unknown.,2025-09-10 18:09:31.417
17,DeliveryDelay,O41,R72,S6,Sugar,Unknown,🚨 Order O41 delayed by 16 mins in Unknown.,2025-09-10 18:09:32.907
18,DeliveryDelay,O43,R26,S3,Butter,Unknown,🚨 Order O43 delayed by 26 mins in Unknown.,2025-09-10 18:09:33.517
19,DeliveryDelay,O45,R49,S4,Butter,Unknown,🚨 Order O45 delayed by 21 mins in Unknown.,2025-09-10 18:09:34.120
20,DeliveryDelay,O48,R20,S12,Eggs,Unknown,🚨 Order O48 delayed by 21 mins in Unknown.,2025-09-10 18:09:35.033
21,DeliveryDelay,O51,R50,S1,Bread,Unknown,🚨 Order O51 delayed by 29 mins in Unknown.,2025-09-10 18:09:35.927
22,DeliveryDelay,O52,R42,S3,Juice,Unknown,🚨 Order O52 delayed by 20 mins in Unknown.,2025-09-10 18:09:36.230
