timestamp,symbol,open,high,low,close,previous_close,volume
2024-01-01 09:15:00,TCS.NS,3501.26,3506.37,3498.64,3503.52,3500.0,3701
2024-01-01 09:16:00,TCS.NS,3507.4,3517.15,3502.63,3510.29,3503.52,8440
2024-01-01 09:17:00,TCS.NS,3507.42,3508.37,3503.79,3507.51,3510.29,6722
2024-01-01 09:18:00,TCS.NS,3506.98,3511.49,3497.21,3503.4,3507.51,2346
2024-01-01 09:19:00,TCS.NS,3498.81,3506.58,3496.74,3504.76,3503.4,9168
2024-01-01 09:20:00,TCS.NS,3508.14,3512.95,3502.17,3503.54,3504.76,5208
2024-01-01 09:21:00,TCS.NS,3499.24,3500.89,3491.31,3497.56,3503.54,8018
2024-01-01 09:22:00,TCS.NS,3500.03,3502.23,3492.2,3496.86,3497.56,2116
2024-01-01 09:23:00,TCS.NS,3496.22,3501.38,3495.79,3499.17,3496.86,7236
2024-01-01 09:24:00,TCS.NS,3498.57,3503.59,3496.47,3503.28,3499.17,4159
2024-01-01 09:25:00,TCS.NS,3507.29,3516.72,3500.79,3501.65,3503.28,2168
2024-01-01 09:26:00,TCS.NS,3505.88,3510.01,3496.58,3505.38,3501.65,6200
2024-01-01 09:27:00,TCS.NS,3504.35,3505.5,3499.97,3503.79,3505.38,4111
2024-01-01 09:28:00,TCS.NS,3506.42,3513.22,3504.69,3509.99,3503.79,6359
2024-01-01 09:29:00,TCS.NS,3512.68,3517.28,3504.62,3516.35,3509.99,5954
2024-01-01 09:30:00,TCS.NS,3512.51,3517.99,3503.89,3511.2,3516.35,9531
2024-01-01 09:31:00,TCS.NS,3510.14,3516.29,3506.17,3508.27,3511.2,3769
2024-01-01 09:32:00,TCS.NS,3505.97,3508.95,3504.25,3507.15,3508.27,9354
2024-01-01 09:33:00,TCS.NS,3510.44,3514.4,3509.49,3511.24,3507.15,6789
2024-01-01 09:34:00,TCS.NS,3508.97,3513.48,3507.88,3509.81,3511.24,1191
2024-01-01 09:35:00,TCS.NS,3509.95,3511.64,3508.01,3509.34,3509.81,5053
2024-01-01 09:36:00,TCS.NS,3513.08,3520.42,3508.51,3515.73,3509.34,4362
2024-01-01 09:37:00,TCS.NS,3513.27,3522.82,3506.58,3514.1,3515.73,1601
2024-01-01 09:38:00,TCS.NS,3509.12,3510.52,3504.51,3508.55,3514.1,2906
2024-01-01 09:39:00,TCS.NS,3511.39,3520.07,3507.17,3514.12,3508.55,3575
2024-01-01 09:40:00,TCS.NS,3514.06,3520.56,3508.55,3513.7,3514.12,1602
